Dates,Gold Price,CPI Index,Real Price of Gold,Gold ETF Market Cap,10 Year Gold Return,10 Year Inflation Rate,10 Year Real Price of Gold Return,10 Year Ago Real Price of Gold
1/31/1975,175.5,52.3,3.355640535,,,,,
2/28/1975,183,52.6,3.479087452,,,,,
3/31/1975,177.1,52.8,3.354166667,,,,,
4/30/1975,166.8,53,3.147169811,,,,,
5/30/1975,166.5,53.1,3.13559322,,,,,
6/30/1975,167.8,53.5,3.136448598,,,,,
7/31/1975,167.6,54,3.103703704,,,,,
8/29/1975,160.2,54.2,2.955719557,,,,,
9/30/1975,140.5,54.6,2.573260073,,,,,
10/31/1975,142.8,54.9,2.601092896,,,,,
11/28/1975,137.3,55.3,2.482820976,,,,,
12/31/1975,141,55.6,2.535971223,,,,,
1/30/1976,128.2,55.8,2.297491039,,,,,
2/27/1976,132.6,55.9,2.372093023,,,,,
3/31/1976,129.1,56,2.305357143,,,,,
4/30/1976,128.9,56.1,2.297682709,,,,,
5/31/1976,126,56.4,2.234042553,,,,,
6/30/1976,123.9,56.7,2.185185185,,,,,
7/30/1976,112.1,57,1.966666667,,,,,
8/31/1976,102.8,57.3,1.794066318,,,,,
9/30/1976,115.7,57.6,2.008680556,,,,,
10/29/1976,123.8,57.9,2.138169257,,,,,
11/30/1976,131.5,58.1,2.263339071,,,,,
12/31/1976,135.7,58.4,2.323630137,,,,,
1/31/1977,133,58.7,2.265758092,,,,,
2/28/1977,144.6,59.3,2.438448567,,,,,
3/31/1977,149.5,59.6,2.508389262,,,,,
4/29/1977,148,60,2.466666667,,,,,
5/31/1977,143.5,60.2,2.38372093,,,,,
6/30/1977,143.6,60.5,2.373553719,,,,,
7/29/1977,145.1,60.8,2.386513158,,,,,
8/31/1977,146.7,61.1,2.400981997,,,,,
9/30/1977,154.6,61.3,2.522022838,,,,,
10/31/1977,162.7,61.6,2.641233766,,,,,
11/30/1977,160.2,62,2.583870968,,,,,
12/30/1977,167.7,62.3,2.691813804,,,,,
1/31/1978,176.6,62.7,2.816586922,,,,,
2/28/1978,184.4,63,2.926984127,,,,,
3/31/1978,184.1,63.4,2.903785489,,,,,
4/28/1978,170.6,63.9,2.669796557,,,,,
5/31/1978,184.3,64.5,2.857364341,,,,,
6/30/1978,183.7,65,2.826153846,,,,,
7/31/1978,203.6,65.5,3.108396947,,,,,
8/31/1978,207.6,65.9,3.150227618,,,,,
9/29/1978,217.9,66.5,3.276691729,,,,,
10/31/1978,246.7,67.1,3.676602086,,,,,
11/30/1978,193.2,67.5,2.862222222,,,,,
12/29/1978,229,67.9,3.372606775,,,,,
1/31/1979,232.5,68.5,3.394160584,,,,,
2/28/1979,252.9,69.2,3.654624277,,,,,
3/30/1979,239.5,69.9,3.426323319,,,,,
4/30/1979,249.2,70.6,3.529745042,,,,,
5/31/1979,276.8,71.4,3.8767507,,,,,
6/29/1979,283.8,72.2,3.930747922,,,,,
7/31/1979,286.9,73,3.930136986,,,,,
8/31/1979,320.2,73.7,4.344640434,,,,,
9/28/1979,395,74.4,5.309139785,,,,,
10/31/1979,385.7,75.2,5.128989362,,,,,
11/30/1979,419.1,76,5.514473684,,,,,
12/31/1979,541,76.9,7.035110533,,,,,
1/31/1980,681.5,78,8.737179487,,,,,
2/29/1980,640,79,8.101265823,,,,,
3/31/1980,501.5,80.1,6.260923845,,,,,
4/30/1980,507,80.9,6.266996292,,,,,
5/30/1980,545.2,81.7,6.673194614,,,,,
6/30/1980,654,82.5,7.927272727,,,,,
7/31/1980,619.7,82.6,7.502421308,,,,,
8/29/1980,641.8,83.2,7.713942308,,,,,
9/30/1980,671.5,83.9,8.003575685,,,,,
10/31/1980,642,84.7,7.579693034,,,,,
11/28/1980,624.6,85.6,7.296728972,,,,,
12/31/1980,599.5,86.4,6.938657407,,,,,
1/30/1981,501.7,87.2,5.753440367,,,,,
2/27/1981,486.5,88,5.528409091,,,,,
3/31/1981,513.8,88.6,5.799097065,,,,,
4/30/1981,489,89.1,5.488215488,,,,,
5/29/1981,479.4,89.7,5.344481605,,,,,
6/30/1981,427,90.5,4.718232044,,,,,
7/31/1981,402,91.5,4.393442623,,,,,
8/31/1981,431.1,92.2,4.675704989,,,,,
9/30/1981,432.7,93.1,4.647690655,,,,,
10/30/1981,431.2,93.4,4.616702355,,,,,
11/30/1981,408.3,93.8,4.352878465,,,,,
12/31/1981,402.8,94.1,4.280552604,,,,,
1/29/1982,384.6,94.4,4.074152542,,,,,
2/26/1982,364.5,94.7,3.848996832,,,,,
3/31/1982,327.5,94.7,3.458289335,,,,,
4/30/1982,346.5,95,3.647368421,,,,,
5/31/1982,322.2,95.9,3.359749739,,,,,
6/30/1982,317.8,97,3.27628866,,,,,
7/30/1982,342.7,97.5,3.514871795,,,,,
8/31/1982,411.8,97.7,4.214943705,,,,,
9/30/1982,398.5,97.7,4.078812692,,,,,
10/29/1982,423,98.1,4.311926606,,,,,
11/30/1982,442.6,98,4.516326531,,,,,
12/31/1982,453,97.7,4.636642784,,,,,
1/31/1983,510.1,97.9,5.210418795,,,,,
2/28/1983,423.7,98,4.323469388,,,,,
3/31/1983,415.9,98.1,4.239551478,,,,,
4/29/1983,433.5,98.8,4.387651822,,,,,
5/31/1983,412,99.2,4.153225806,,,,,
6/30/1983,418.5,99.4,4.210261569,,,,,
7/29/1983,412.8,99.8,4.136272545,,,,,
8/31/1983,417.7,100.1,4.172827173,,,,,
9/30/1983,401.9,100.4,4.002988048,,,,,
10/31/1983,378.8,100.8,3.757936508,,,,,
11/30/1983,403,101.1,3.986152324,,,,,
12/30/1983,388,101.4,3.82642998,,,,,
1/31/1984,373.8,102.1,3.661116552,,,,,
2/29/1984,398.9,102.6,3.88791423,,,,,
3/30/1984,387.5,102.9,3.765792031,,,,,
4/30/1984,379.6,103.3,3.674733785,,,,,
5/31/1984,386.8,103.5,3.737198068,,,,,
6/29/1984,376.1,103.7,3.6268081,,,,,
7/31/1984,337.7,104.1,3.243996158,,,,,
8/31/1984,351.2,104.4,3.363984674,,,,,
9/28/1984,344.9,104.7,3.29417383,,,,,
10/31/1984,336,105.1,3.196955281,,,,,
11/30/1984,329.1,105.3,3.125356125,,,,,
12/31/1984,309.7,105.5,2.935545024,,,,,
1/31/1985,304.1,105.7,2.877010407,,5.65%,7.29%,-1.53%,3.355640535
2/28/1985,288.7,106.3,2.715898401,,4.66%,7.29%,-2.45%,3.479087452
3/29/1985,329.6,106.8,3.086142322,,6.41%,7.30%,-0.83%,3.354166667
4/30/1985,316.5,107,2.957943925,,6.61%,7.28%,-0.62%,3.147169811
5/31/1985,316.2,107.2,2.949626866,,6.62%,7.28%,-0.61%,3.13559322
6/28/1985,317.7,107.5,2.955348837,,6.59%,7.23%,-0.59%,3.136448598
7/31/1985,327.1,107.7,3.037140204,,6.92%,7.15%,-0.22%,3.103703704
8/30/1985,335.4,107.9,3.108433735,,7.67%,7.13%,0.51%,2.955719557
9/30/1985,322.8,108.1,2.986123959,,8.67%,7.07%,1.50%,2.573260073
10/31/1985,326.7,108.5,3.011059908,,8.63%,7.05%,1.47%,2.601092896
11/29/1985,322.9,109,2.962385321,,8.93%,7.02%,1.78%,2.482820976
12/31/1985,331.1,109.5,3.023744292,,8.91%,7.01%,1.77%,2.535971223
1/31/1986,348.8,109.9,3.173794359,,10.53%,7.01%,3.28%,2.297491039
2/28/1986,341,109.7,3.108477666,,9.91%,6.97%,2.74%,2.372093023
3/31/1986,331.1,109.1,3.034830431,,9.88%,6.90%,2.79%,2.305357143
4/30/1986,348.1,108.7,3.202391904,,10.44%,6.84%,3.38%,2.297682709
5/30/1986,344.1,109,3.156880734,,10.57%,6.81%,3.52%,2.234042553
6/30/1986,347.7,109.4,3.178244973,,10.87%,6.79%,3.82%,2.185185185
7/31/1986,362.7,109.5,3.312328767,,12.46%,6.75%,5.35%,1.966666667
8/29/1986,389.5,109.6,3.553832117,,14.25%,6.70%,7.07%,1.794066318
9/30/1986,425.7,110,3.87,,13.91%,6.68%,6.78%,2.008680556
10/31/1986,405.5,110.2,3.679673321,,12.60%,6.65%,5.58%,2.138169257
11/28/1986,390.9,110.4,3.54076087,,11.51%,6.63%,4.58%,2.263339071
12/31/1986,407,110.8,3.673285199,,11.61%,6.61%,4.69%,2.323630137
1/30/1987,405.1,111.4,3.636445242,,11.78%,6.62%,4.84%,2.265758092
2/27/1987,407.4,111.8,3.644007156,,10.91%,6.55%,4.10%,2.438448567
3/31/1987,418,112.2,3.725490196,,10.83%,6.53%,4.03%,2.508389262
4/30/1987,456.5,112.7,4.050576752,,11.92%,6.51%,5.08%,2.466666667
5/29/1987,450.2,113,3.984070796,,12.11%,6.50%,5.27%,2.38372093
6/30/1987,452.2,113.5,3.984140969,,12.15%,6.49%,5.32%,2.373553719
